Iteration,Timestamp,T1,T1_std,T2*,T2*_std,T2E,T2E_std,Qubit Frequency,TimeDiff,Gap
30,2025-10-22 17:53:01,8.080594513293349e-06,1.747601120587629e-07,5.546632961594966e-06,3.792615740857604e-07,7.883073652292794e-06,5.040707246411518e-07,5439109789.882292,175.0,False
31,2025-10-22 17:53:36,9.514448307879064e-06,2.554637920789293e-07,7.121789437736226e-06,4.2736061072997593e-07,9.12417841347768e-06,3.824281260183847e-07,5439112964.214819,35.0,False
32,2025-10-22 17:54:11,8.105726056806262e-06,2.404289812019515e-07,6.278095282530316e-06,4.165070798695407e-07,7.94839925766233e-06,4.5161069970822484e-07,5439113346.862214,35.0,False
41,2025-10-22 17:59:24,9.35917499944594e-06,3.217178834830783e-07,7.006360995820415e-06,3.684015683265255e-07,9.343718369470013e-06,4.799166741683182e-07,5439111887.910389,313.0,False
42,2025-10-22 17:59:59,9.4343259700036e-06,2.905467231257932e-07,7.4906859859336095e-06,4.849009165575287e-07,8.881382601799714e-06,4.681867212666107e-07,5439124199.467962,35.0,False
43,2025-10-22 18:00:34,9.522511102533215e-06,2.161819743833799e-07,7.241928473789017e-06,4.874294261063111e-07,9.455423835902366e-06,5.580922661609646e-07,5439120534.28639,35.0,False
44,2025-10-22 18:01:09,8.876861256279511e-06,2.323419313137062e-07,6.395803650249832e-06,4.232633142968749e-07,9.013891999920531e-06,5.633769305983469e-07,5439124568.193268,35.0,False
45,2025-10-22 18:01:44,9.534912255304562e-06,2.522995696225177e-07,6.963018730932191e-06,4.256234438352525e-07,9.833749854193384e-06,5.981623856812972e-07,5439128244.351165,35.0,False
46,2025-10-22 18:02:18,8.847265346778599e-06,2.306417730714799e-07,6.536670446255499e-06,4.619655350138339e-07,9.646106685634592e-06,5.869674694274913e-07,5439126238.206452,34.0,False
49,2025-10-22 18:04:03,9.420610802113316e-06,2.049273458875232e-07,6.491946457964914e-06,4.851056687377357e-07,9.752684488217866e-06,6.103336443812624e-07,5439125787.840121,105.0,False
50,2025-10-22 18:04:38,9.966515825077238e-06,2.688496753011738e-07,7.341053650522511e-06,4.6244345654537814e-07,8.669668420946408e-06,4.539245873166675e-07,5439132922.185916,35.0,False
52,2025-10-22 18:05:48,8.795418794615983e-06,2.19609271134546e-07,5.442928223908794e-06,4.042210915552713e-07,9.04832890324947e-06,3.765986097220134e-07,5439126721.335564,70.0,False
54,2025-10-22 18:06:58,9.957877825650384e-06,2.831142994741413e-07,7.475196485362545e-06,3.832649898461354e-07,1.0110038564103974e-05,5.272764539613283e-07,5439122464.344645,70.0,False
56,2025-10-22 18:08:08,9.047711746479337e-06,3.0846627589500296e-07,6.828966601757358e-06,4.380665025582003e-07,8.442866152424955e-06,5.973589494303035e-07,5439114948.780131,70.0,False
57,2025-10-22 18:08:42,1.0360680540832943e-05,2.3175343719309497e-07,7.905965317522856e-06,4.733808049187511e-07,9.388410008748238e-06,5.132531418034607e-07,5439120552.240386,34.0,False
58,2025-10-22 18:09:17,8.731520142024607e-06,2.8758172512533054e-07,5.198199238609647e-06,4.341525095261738e-07,8.669698635666023e-06,5.185328518173894e-07,5439124043.013189,35.0,False
59,2025-10-22 18:09:52,9.463098494366662e-06,2.4876833142477284e-07,7.383026240814772e-06,3.771371246917883e-07,9.462442701169138e-06,5.160518470312359e-07,5439118778.691509,35.0,False
60,2025-10-22 18:10:27,8.696127167029388e-06,2.750907533227937e-07,5.981223460072016e-06,4.962562511397513e-07,8.77692369183336e-06,4.444512152194522e-07,5439114302.318459,35.0,False
61,2025-10-22 18:11:01,7.4849245474961634e-06,1.8973485680025482e-07,5.257913594070018e-06,4.020877387483223e-07,7.612539413059949e-06,4.61148253963334e-07,5439121496.340038,34.0,False
62,2025-10-22 18:11:36,9.306373569994976e-06,1.7381968827938613e-07,7.647644810315768e-06,4.292609835950017e-07,1.00242300189457e-05,5.023344038325815e-07,5439120483.757451,35.0,False
63,2025-10-22 18:12:11,9.872765993845787e-06,1.7136097326135326e-07,6.920142650246319e-06,4.093509946880975e-07,9.971925605256615e-06,6.077400104508311e-07,5439116447.531921,35.0,False
64,2025-10-22 18:12:46,9.598559459922384e-06,2.0622276827928626e-07,7.073444127092543e-06,5.035138640520282e-07,9.986160457442494e-06,5.433579701906557e-07,5439115965.86097,35.0,False
65,2025-10-22 18:13:21,8.733117790260536e-06,2.173931579611021e-07,6.743615444504414e-06,4.67485551764701e-07,9.107315876555331e-06,5.523220456340731e-07,5439110678.367562,35.0,False
66,2025-10-22 18:13:56,8.728909648647587e-06,2.203994922476873e-07,6.944718212720247e-06,3.945999873816292e-07,9.210322812425176e-06,5.449637080175368e-07,5439110399.828244,35.0,False
68,2025-10-22 18:15:06,8.139688234320985e-06,2.1313325797731417e-07,6.956411357839087e-06,4.732395434073312e-07,7.731178517822457e-06,5.178762299375494e-07,5439108804.212068,70.0,False
69,2025-10-22 18:15:40,9.168097376388571e-06,2.1632173012358867e-07,7.434242363935084e-06,4.85910288334239e-07,9.741393633300175e-06,5.575943734221035e-07,5439111774.731971,34.0,False
70,2025-10-22 18:16:16,9.022083235166178e-06,2.2206192534525226e-07,7.974483200223759e-06,5.2024830824963e-07,1.0289657243145456e-05,5.301380006825574e-07,5439115270.101764,36.0,False
71,2025-10-22 18:16:50,9.582637275684648e-06,2.2535200979459602e-07,7.191306214737736e-06,5.649346191231237e-07,8.995180353910115e-06,4.252987423853249e-07,5439117213.122873,34.0,False
72,2025-10-22 18:17:25,9.52100212714413e-06,1.978992725647973e-07,7.681641898349412e-06,5.399391347060823e-07,9.767034376384489e-06,4.326584703300905e-07,5439116101.374786,35.0,False
73,2025-10-22 18:18:00,9.76004356134652e-06,2.9878237349044935e-07,8.263885922232816e-06,4.580019968447431e-07,1.0741834745031651e-05,5.813060450402396e-07,5439114096.724652,35.0,False
74,2025-10-22 18:18:35,9.618671784838996e-06,2.7515527307025306e-07,6.873889263125932e-06,4.41632235060752e-07,9.789662206660664e-06,4.322246969354477e-07,5439110394.644712,35.0,False
75,2025-10-22 18:19:09,9.727533775816257e-06,2.532953192137004e-07,7.451477359809999e-06,4.816320924251976e-07,9.81311394410156e-06,6.019050582741564e-07,5439113010.060682,34.0,False
77,2025-10-22 18:20:19,8.543615102052371e-06,2.4533499406945823e-07,6.788166639681847e-06,4.005700790864392e-07,9.181237017985566e-06,4.969205451962918e-07,5439124128.969358,70.0,False
78,2025-10-22 18:20:54,8.695743068942718e-06,2.029635662952835e-07,6.596313890216976e-06,3.502046379044197e-07,9.237161319397558e-06,5.509776308600821e-07,5439122045.393453,35.0,False
80,2025-10-22 18:22:03,8.331857938248532e-06,2.75497130009058e-07,6.546165987053598e-06,3.3661541311973445e-07,8.914677148252892e-06,5.520317145222419e-07,5439121876.438703,69.0,False
81,2025-10-22 18:22:38,9.345312966813069e-06,2.642882214383842e-07,7.31423634015016e-06,4.607569851281871e-07,9.571372754590968e-06,5.931172529201879e-07,5439116790.09407,35.0,False
82,2025-10-22 18:23:13,8.506617857895193e-06,2.019382150970641e-07,6.316594052924174e-06,3.837715191128178e-07,8.408473147092366e-06,4.724211696261516e-07,5439115779.7776375,35.0,False
83,2025-10-22 18:23:48,9.571723982748637e-06,2.3684066554276526e-07,7.286045951460096e-06,4.81417230732438e-07,9.67679169439073e-06,7.126698680820713e-07,5439112213.458009,35.0,False
84,2025-10-22 18:24:23,1.051234903992615e-05,2.2010946912067322e-07,8.053994420942345e-06,5.161292928963024e-07,1.0134730780153587e-05,5.444725949976368e-07,5439116392.240253,35.0,False
85,2025-10-22 18:24:58,9.428652939291736e-06,2.457885408357631e-07,6.599425187436836e-06,4.935337168569441e-07,8.984672558165485e-06,5.37756106283522e-07,5439119807.949578,35.0,False
88,2025-10-22 18:26:42,9.814685086650954e-06,3.065396006904732e-07,7.524538833347805e-06,4.483246283421497e-07,9.98743617852682e-06,4.720455728673707e-07,5439116742.404333,104.0,False
90,2025-10-22 18:27:53,9.167418210775937e-06,2.470295506845723e-07,6.586272051967157e-06,5.684853155299335e-07,7.955280150850896e-06,4.82647427358044e-07,5439127410.185405,71.0,False
91,2025-10-22 18:28:27,8.861498948853352e-06,2.631382186224736e-07,6.2202113988441e-06,3.946238432246175e-07,9.172367364751466e-06,6.213152508475723e-07,5439124819.538026,34.0,False
92,2025-10-22 18:29:02,9.251860133563383e-06,2.751723731265569e-07,6.014452519353952e-06,3.820618374873209e-07,9.654791116364692e-06,6.969078650906874e-07,5439128547.327924,35.0,False
93,2025-10-22 18:29:37,1.0934962637154657e-05,3.1518001138609454e-07,7.595838705132252e-06,5.052669349781997e-07,1.1312635978866226e-05,6.62313526621293e-07,5439128033.273867,35.0,False
94,2025-10-22 18:30:11,1.3734661397979409e-05,5.107055897357594e-07,1.0252615277650534e-05,6.35039771794834e-07,1.181647770565064e-05,7.191697384830402e-07,5439123527.754749,34.0,False
95,2025-10-22 18:30:46,1.2627427415923265e-05,3.060912050758009e-07,9.220241813601149e-06,5.353193115125464e-07,1.1671940496338353e-05,5.703172741251393e-07,5439122013.652862,35.0,False
96,2025-10-22 18:31:22,1.035369495472338e-05,2.0055540230370505e-07,8.386244094049644e-06,6.423744457186367e-07,1.0370632683276426e-05,6.894465717757572e-07,5439118552.410794,36.0,False
97,2025-10-22 18:31:56,1.044562582919184e-05,2.5758861133860265e-07,7.563436085655795e-06,3.532887769688014e-07,9.221406333637104e-06,4.783438204132384e-07,5439121294.247496,34.0,False
98,2025-10-22 18:32:31,1.0174362095716203e-05,2.040167556842667e-07,8.857454824928723e-06,5.613476856014918e-07,9.7304248121155e-06,4.3657814985671646e-07,5439117532.489841,35.0,False
99,2025-10-22 18:33:06,1.3471415291732567e-05,4.857033966459029e-07,1.0624799125835692e-05,5.586789721303563e-07,1.4538733252411618e-05,9.595499931226748e-07,5439121587.971432,35.0,False
100,2025-10-22 18:33:41,1.2661071731479012e-05,4.432867781960509e-07,9.534345561945656e-06,6.497952986970756e-07,1.2519011576506143e-05,7.093155382894391e-07,5439121446.364744,35.0,False
101,2025-10-22 18:34:16,1.1740800115234151e-05,3.41167634302624e-07,9.68932215994478e-06,7.868078116643343e-07,1.1451657032202078e-05,5.800748074948198e-07,5439119874.580936,35.0,False
102,2025-10-22 18:34:51,1.1710090091821002e-05,3.503938650765123e-07,9.175510096159911e-06,7.668082279660217e-07,1.0968059753757586e-05,6.897044615346945e-07,5439118231.831206,35.0,False
103,2025-10-22 18:35:26,1.372363544738242e-05,3.988816681641074e-07,1.0079588939282402e-05,6.214884431731983e-07,1.1971797424514818e-05,6.225540834735595e-07,5439123105.536435,35.0,False
104,2025-10-22 18:36:00,1.306523324662301e-05,3.742417058839255e-07,1.114171808924702e-05,5.449641184999937e-07,1.22776970052918e-05,5.572218742429309e-07,5439124526.631794,34.0,False
105,2025-10-22 18:36:35,1.4027686509043846e-05,3.936049519880154e-07,1.0895275739830623e-05,5.800181592569802e-07,1.3051811613040698e-05,8.394787866619831e-07,5439122056.072007,35.0,False
106,2025-10-22 18:37:10,1.2354693690763696e-05,3.489568288608153e-07,9.515582512387157e-06,5.353187352082061e-07,1.1848331782582378e-05,6.420866006359582e-07,5439122745.144446,35.0,False
107,2025-10-22 18:37:45,1.2293247137584729e-05,2.666944817859636e-07,9.29147317463297e-06,4.747161523870308e-07,1.2048051608593012e-05,5.013623250017157e-07,5439124148.196726,35.0,False
108,2025-10-22 18:38:20,1.3192887447388555e-05,3.660454252728697e-07,9.492193089988277e-06,5.54696694815884e-07,1.248203933545966e-05,6.795790082124167e-07,5439126231.639377,35.0,False
109,2025-10-22 18:38:54,1.4090003292999144e-05,4.273627329130821e-07,9.67872877799536e-06,5.984272476808061e-07,1.2038450994733552e-05,6.222599006569162e-07,5439127741.520387,34.0,False
110,2025-10-22 18:39:28,1.326049776673166e-05,4.2767545067492955e-07,1.1216984160178356e-05,7.889886581051195e-07,1.2135641934696297e-05,5.671715725690997e-07,5439125281.781678,34.0,False
111,2025-10-22 18:40:03,1.3607046861263685e-05,3.749913169744639e-07,1.0754284601954822e-05,6.601513220655864e-07,1.1500786377238724e-05,5.729136537855417e-07,5439125133.895282,35.0,False
112,2025-10-22 18:40:38,1.1455462521015036e-05,3.022805555843792e-07,9.324314147907131e-06,4.81094483501815e-07,9.81841841962705e-06,5.322228902319531e-07,5439125866.0344095,35.0,False
113,2025-10-22 18:41:13,1.1163101210076576e-05,2.789265536338098e-07,9.566984839226578e-06,6.336309255342031e-07,1.0060005301237853e-05,4.911430194773501e-07,5439125459.040455,35.0,False
114,2025-10-22 18:41:47,1.3244658150446398e-05,4.379372571190175e-07,1.0659300046178544e-05,6.11081380477047e-07,1.2087612187183794e-05,5.958424826153204e-07,5439123175.611094,34.0,False
115,2025-10-22 18:42:22,1.3224489409102702e-05,3.907133875627917e-07,1.024155238282809e-05,6.290418058390144e-07,1.2459973314005168e-05,7.585192005741083e-07,5439123425.427801,35.0,False
116,2025-10-22 18:42:57,1.33972069999988e-05,5.739070888249401e-07,1.0493170762071458e-05,5.832006568057923e-07,1.213096776053746e-05,7.151585619909953e-07,5439122651.460413,35.0,False
117,2025-10-22 18:43:32,1.3419486063037668e-05,3.966027866938568e-07,1.0212617459259832e-05,6.712057966516092e-07,1.1958560553804176e-05,6.446994973094061e-07,5439122925.584709,35.0,False
118,2025-10-22 18:44:07,1.3685136990515543e-05,3.573069297025354e-07,1.0363153557069182e-05,5.394032870873381e-07,1.2370161851960049e-05,6.16048017772727e-07,5439122669.422877,35.0,False
120,2025-10-22 18:45:16,1.2387652831513662e-05,2.971015053247656e-07,9.95364615485883e-06,5.50255333989994e-07,1.3594262135763202e-05,6.481394429070411e-07,5439121003.424877,69.0,False
121,2025-10-22 18:45:51,1.2287413694744842e-05,2.5632918300007175e-07,9.92841683644663e-06,6.051531519855154e-07,1.2566013112280672e-05,6.234395809186005e-07,5439126797.949314,35.0,False
122,2025-10-22 18:46:26,1.3335905220568378e-05,3.8846196927398993e-07,1.0781368513068657e-05,5.176547079175048e-07,1.3079041832231296e-05,6.212958395855766e-07,5439121944.804696,35.0,False
123,2025-10-22 18:47:01,1.2334035426553314e-05,3.820087110538584e-07,9.87661921958427e-06,4.089285186538235e-07,1.237229349948521e-05,8.78025395081218e-07,5439124746.342353,35.0,False
124,2025-10-22 18:47:35,1.2746012256314998e-05,3.682053117057424e-07,1.0424994515867423e-05,4.61005518862378e-07,1.1967753838160178e-05,7.599625747878838e-07,5439126103.204328,34.0,False
125,2025-10-22 18:48:10,1.1927859948412944e-05,3.318225538154817e-07,9.69531752548214e-06,5.084218266416744e-07,1.1299139469400645e-05,6.44266000099519e-07,5439126162.328593,35.0,False
126,2025-10-22 18:48:45,1.087249934483836e-05,2.416580088088404e-07,8.996589281995426e-06,5.435010815332756e-07,1.0694618470807882e-05,4.89620803506712e-07,5439129080.9644985,35.0,False
127,2025-10-22 18:49:19,1.2721387301350973e-05,2.78789456141784e-07,9.894697604151403e-06,6.267901214316375e-07,1.0889474121977829e-05,7.075623093101317e-07,5439125872.623546,34.0,False
128,2025-10-22 18:49:54,1.3117423943054264e-05,3.221172748274481e-07,1.0764947728780784e-05,5.288109370004486e-07,1.2486933862909666e-05,7.087204929336903e-07,5439125323.646877,35.0,False
129,2025-10-22 18:50:29,1.1684237829712174e-05,3.471162176950465e-07,1.0668583242390284e-05,6.676610144883104e-07,1.2004991248204531e-05,4.952496095927782e-07,5439125455.966238,35.0,False
130,2025-10-22 18:51:04,1.2007224448273844e-05,3.448522247666275e-07,9.686365994410195e-06,6.889232824793004e-07,1.0940012602489446e-05,7.919038248896858e-07,5439126988.347033,35.0,False
131,2025-10-22 18:51:39,1.1862751331026544e-05,2.8351409323443866e-07,1.0315657971382564e-05,6.670554067736094e-07,1.1649738250962828e-05,7.581304176564673e-07,5439125524.237787,35.0,False
132,2025-10-22 18:52:14,1.1430205027140872e-05,2.880604158845072e-07,1.0099713589228898e-05,5.456771723751129e-07,1.1359971793467594e-05,7.55316201698935e-07,5439125309.089655,35.0,False
134,2025-10-22 18:53:24,1.0040108288755787e-05,2.134299621464151e-07,7.651163287825113e-06,4.373416455934176e-07,8.141936225225521e-06,4.227946069721953e-07,5439125610.627636,70.0,False
136,2025-10-22 18:54:34,1.2078998374409622e-05,3.465106017211175e-07,9.175441274322791e-06,5.896700484949583e-07,1.2251143070463044e-05,8.201470736231327e-07,5439118832.740852,70.0,False
137,2025-10-22 18:55:09,1.3437427148321746e-05,5.059892374900185e-07,1.0071599307881485e-05,6.454467531668003e-07,1.255825707491276e-05,7.79913262445567e-07,5439122706.140775,35.0,False
138,2025-10-22 18:55:44,1.3715302174199806e-05,4.5176381745022246e-07,1.007968427479966e-05,5.122748542505849e-07,1.143784879720222e-05,7.099855829790117e-07,5439124369.632308,35.0,False
139,2025-10-22 18:56:19,1.0428435376574896e-05,2.4553642912826295e-07,8.067947528278552e-06,5.455012937957167e-07,9.4477558147954e-06,4.495177916674496e-07,5439120820.38498,35.0,False
140,2025-10-22 18:56:53,1.0717751421251975e-05,2.559703324638808e-07,9.06412319556793e-06,5.116156483340615e-07,1.070903489419628e-05,4.53116887428665e-07,5439122331.912075,34.0,False
141,2025-10-22 18:57:28,1.2495046708194124e-05,2.848939066635505e-07,1.016393824171402e-05,6.345400377031262e-07,1.227482041721295e-05,6.896710734713833e-07,5439122084.625937,35.0,False
142,2025-10-22 18:58:03,1.3336245634709698e-05,3.3786271200617945e-07,1.0076981882711776e-05,5.80833231467307e-07,1.2288772808011215e-05,6.491785829071588e-07,5439121987.255357,35.0,False
143,2025-10-22 18:58:38,1.3375608539423212e-05,3.517350547460881e-07,1.0032994981479249e-05,5.628341905676339e-07,1.3548048413358773e-05,6.598571504184188e-07,5439121214.266437,35.0,False
144,2025-10-22 18:59:13,1.1657106498086378e-05,2.967274201646461e-07,9.668253706740517e-06,5.371159314010287e-07,1.104575768517968e-05,6.213364372917182e-07,5439123678.626372,35.0,False
145,2025-10-22 18:59:48,1.3075475542523309e-05,3.932165128458394e-07,1.0427864782558416e-05,5.188132207327284e-07,1.2191697332575302e-05,8.452309294232372e-07,5439124116.844585,35.0,False
146,2025-10-22 19:00:22,1.3778556061216918e-05,4.400871026855767e-07,1.057572510210214e-05,5.930791751460584e-07,1.1728345093775516e-05,7.087868538304816e-07,5439122831.671132,34.0,False
147,2025-10-22 19:00:57,1.310657390507508e-05,4.6896753258989565e-07,1.099082769884241e-05,5.674940339833352e-07,1.2196464203251269e-05,5.269838007200634e-07,5439125569.043945,35.0,False
148,2025-10-22 19:01:32,1.307350745571867e-05,4.564745114174781e-07,1.031054341282811e-05,6.238792803997192e-07,1.1958025518454818e-05,5.919292880514743e-07,5439120912.036964,35.0,False
149,2025-10-22 19:02:06,1.3082155470689472e-05,3.419276698151075e-07,1.0137312052016512e-05,6.210590500755541e-07,1.2924816406245654e-05,7.152995334476521e-07,5439123184.51718,34.0,False
150,2025-10-22 19:02:41,1.3134084733579243e-05,3.7158789836366164e-07,1.053364175684912e-05,4.786090451701516e-07,1.2898382514059392e-05,8.243841873744943e-07,5439121814.12456,35.0,False
151,2025-10-22 19:03:17,1.3928087295278502e-05,4.129438466350729e-07,1.0421359786016993e-05,4.309493924700474e-07,1.1681234001859052e-05,7.544391453936582e-07,5439121538.871863,36.0,False
152,2025-10-22 19:03:52,1.231790557709722e-05,3.730237834850345e-07,9.30335513449343e-06,5.438660479061663e-07,1.0916155699369767e-05,4.945649993752986e-07,5439123312.251672,35.0,False
153,2025-10-22 19:04:27,1.0159553061050984e-05,2.1711609983793797e-07,8.380689674458708e-06,4.980384773259546e-07,9.46693089320938e-06,5.527962785759533e-07,5439123027.801477,35.0,False
154,2025-10-22 19:05:01,9.551973518817649e-06,1.954687182668077e-07,7.527922050165614e-06,4.5627086577127597e-07,8.289938954186837e-06,4.558011033609097e-07,5439126254.039503,34.0,False
156,2025-10-22 19:06:12,1.0984239836586696e-05,2.52453890781214e-07,8.556721699637393e-06,5.304797489524439e-07,1.040237758997975e-05,5.58556685058612e-07,5439126831.405709,71.0,False
157,2025-10-22 19:06:48,1.034486851625438e-05,2.1723333832367506e-07,8.530434952191968e-06,3.679630038478777e-07,9.19985246849997e-06,3.94090018226122e-07,5439126625.783683,36.0,False
158,2025-10-22 19:07:23,1.2535179450212652e-05,2.752428815766983e-07,9.952796121259766e-06,6.712603797073213e-07,1.121427854933188e-05,5.550802468076009e-07,5439125973.100491,35.0,False
159,2025-10-22 19:07:57,1.3852575472483863e-05,3.277964400349892e-07,1.1377544096413672e-05,6.364905197732458e-07,1.2939192800764944e-05,6.173116761972488e-07,5439124281.183626,34.0,False
160,2025-10-22 19:08:33,1.3100610173788496e-05,3.152817904697604e-07,1.018493056514913e-05,5.408635112615953e-07,1.1905470548301269e-05,8.988525069797474e-07,5439126119.217143,36.0,False
161,2025-10-22 19:09:07,1.1329183106978393e-05,3.11354703277737e-07,8.559562558074774e-06,5.61257593286512e-07,1.0387100785491654e-05,5.238895627180917e-07,5439131631.018527,34.0,False
162,2025-10-22 19:09:42,1.3405460516979772e-05,3.711488461789936e-07,1.0779538204941376e-05,5.005688062352603e-07,1.261823858689226e-05,6.561951033051692e-07,5439121176.907479,35.0,False
163,2025-10-22 19:10:16,9.411988430629847e-06,3.0732237242118613e-07,7.358547470248666e-06,5.151150281339834e-07,9.056261600193238e-06,5.467396771356254e-07,5439121661.788142,34.0,False
165,2025-10-22 19:11:26,8.563326812094374e-06,2.781652698301109e-07,6.888740398780513e-06,4.3248433650551945e-07,8.155338413029511e-06,5.036495022940196e-07,5439114923.680607,70.0,False
166,2025-10-22 19:12:01,1.2052930576489372e-05,2.952601842093895e-07,9.213569898358642e-06,5.724254313648799e-07,1.035296363105509e-05,6.619718682436754e-07,5439117270.227392,35.0,False
168,2025-10-22 19:13:10,1.0654573305846071e-05,2.9471946177075174e-07,8.491735830951086e-06,4.864841577485086e-07,9.282546257427526e-06,4.2597025155965686e-07,5439126436.939007,69.0,False
169,2025-10-22 19:13:45,1.3297110822652058e-05,4.90469727247176e-07,9.966845413433845e-06,7.211263484261717e-07,1.2282441066879812e-05,7.753281398568067e-07,5439125059.224702,35.0,False
170,2025-10-22 19:14:20,1.3294659344076363e-05,4.103029169653085e-07,1.0514486457502414e-05,6.805605904150311e-07,1.3137307872446158e-05,6.771284688983469e-07,5439123367.064073,35.0,False
171,2025-10-22 19:14:55,1.0558628189771824e-05,1.937125328812519e-07,8.608760688089134e-06,5.587133223332564e-07,1.0070844297604964e-05,5.885904971232857e-07,5439120905.0886965,35.0,False
172,2025-10-22 19:15:30,1.0256024770560757e-05,2.3274770770143718e-07,9.060765859825182e-06,5.178471287420565e-07,9.214384342870474e-06,5.356601007934218e-07,5439119801.294738,35.0,False
173,2025-10-22 19:16:04,1.2765718082397017e-05,4.010397998232616e-07,1.0635911333212178e-05,6.277045613004004e-07,1.263247619909258e-05,6.71576134200991e-07,5439122712.6247,34.0,False
174,2025-10-22 19:16:40,1.3298201642086838e-05,4.5325135855177e-07,1.081553864246132e-05,6.821275880850057e-07,1.1662264313150317e-05,6.603039374589975e-07,5439120067.785528,36.0,False
175,2025-10-22 19:17:14,1.3087926898025516e-05,4.1183946833057217e-07,9.86818301407233e-06,4.682196209919641e-07,1.2793220219853296e-05,5.717326164459352e-07,5439121581.247878,34.0,False
176,2025-10-22 19:17:50,1.313626628318687e-05,3.856752795869427e-07,1.020902192561124e-05,6.848603767828337e-07,1.1786568442362366e-05,8.633103622902999e-07,5439121603.616765,36.0,False
177,2025-10-22 19:18:25,1.1806031714689524e-05,3.435868882109742e-07,9.39771485630736e-06,5.660128004618657e-07,1.1967638410714798e-05,6.742345733519411e-07,5439120792.839495,35.0,False
178,2025-10-22 19:19:00,1.1316032340502602e-05,3.075708913380339e-07,9.86717908801893e-06,6.257323400818034e-07,1.0921230843452534e-05,5.20059817535123e-07,5439123604.872337,35.0,False
179,2025-10-22 19:19:35,1.2303784681311214e-05,2.3885316747653385e-07,1.005238123141794e-05,6.426463088133518e-07,1.0693693842434016e-05,5.860924439820551e-07,5439123780.020851,35.0,False
180,2025-10-22 19:20:10,1.0929839437512356e-05,2.1806172549967577e-07,9.14532993800954e-06,6.021175349716885e-07,1.0872188200172772e-05,5.679994114261036e-07,5439125332.016909,35.0,False
